batch_size,relative_time_s,power_total_W
8,0.0,1026.786
8,0.1,1033.6692900142898
8,0.2,1033.5782803999275
8,0.30000000000000004,1049.8173646425919
8,0.4,1025.2469207374522
8,0.5,1036.1643361562417
8,0.6000000000000001,1038.9446582697612
8,0.7000000000000001,1054.9869782727535
8,0.8,1061.2589362358854
8,0.9,1036.9737633651773
8,1.0,1039.5968873278664
8,1.1,1043.7461694760777
8,1.2000000000000002,1041.3131444751539
8,1.3,1045.5506830602005
8,1.4000000000000001,1041.3232138542605
8,1.5,1056.1411391598401
8,1.6,1054.0906594746123
8,1.7000000000000002,1056.099633848205
8,1.8,1040.9623657951395
8,1.9000000000000001,1074.332145632913
8,2.0,1085.5731646305605
8,2.1,1062.8651051381703
8,2.2,1053.0469309163684
8,2.3000000000000003,1047.3858590929428
8,2.4000000000000004,1087.4919303179813
8,2.5,1080.5443561623936
8,2.6,1059.0210913761337
8,2.7,1067.4525329452924
8,2.8000000000000003,1099.3993451168108
8,2.9000000000000004,1081.4895850823466
8,3.0,1063.6402682177559
8,3.1,1066.6535788274912
8,3.2,1049.3244239742558
8,3.3000000000000003,1067.6489038687614
8,3.4000000000000004,1057.6510595328143
8,3.5,1070.9301108920029
8,3.6,1052.908955647297
8,3.7,1052.2022481953877
8,3.8000000000000003,1050.2800230667872
8,3.9000000000000004,1045.4742222243913
8,4.0,1035.4619426269705
8,4.1000000000000005,1055.1576022775985
8,4.2,1073.3949796566496
8,4.3,1066.4044874409178
8,4.4,1056.718363111018
8,4.5,1042.1140022892607
8,4.6000000000000005,1041.180160413799
8,4.7,1048.1815314281903
8,4.800000000000001,1081.6644456840045
8,4.9,1076.0109201572336
8,5.0,1055.4086528829714
8,5.1000000000000005,1064.6740065021445
8,5.2,1040.6431186461011
8,5.300000000000001,1041.8439397256168
8,5.4,1050.5608972999491
8,5.5,1066.0037295060113
8,5.6000000000000005,1057.8448002586454
8,5.7,1113.0698449964043
8,5.800000000000001,1126.0425119650972
8,5.9,1099.1099772053085
8,6.0,1087.0164945175336
8,6.1000000000000005,1091.222778783351
8,6.2,1074.332758485583
8,6.300000000000001,1062.6453122197163
8,6.4,1080.1999465173046
8,6.5,1072.742419690933
8,6.6000000000000005,1076.6873470271044
8,6.7,1074.0742028259024
8,6.800000000000001,1075.0827823111717
8,6.9,1067.4169813433705
8,7.0,1059.814415803149
8,7.1000000000000005,1054.7207245440272
8,7.2,1057.489653683283
8,7.300000000000001,1053.0076197535152
8,7.4,1063.7542231926786
8,7.5,1074.4933468645231
8,7.6000000000000005,1064.5927529623202
8,7.7,1074.9324129020893
8,7.800000000000001,1092.3336542954414
8,7.9,1097.7705588590813
8,8.0,1080.895943816399
8,8.1,1077.3589210431867
8,8.200000000000001,1083.579875775155
8,8.3,1057.1643777376273
8,8.4,1053.2026946076276
8,8.5,1069.3634516677298
8,8.6,1063.713121473792
8,8.700000000000001,1060.8532973661083
8,8.8,1072.8103261764659
8,8.9,1070.0081300976838
8,9.0,1050.0690845882386
8,9.1,1065.078198021786
8,9.200000000000001,1077.1632359830044
8,9.3,1088.0591798858952
8,9.4,1106.6617661536557
8,9.5,1091.7844120919422
8,9.600000000000001,1083.0821749480904
8,9.700000000000001,1085.3227066871407
8,9.8,1076.8386289131604
8,9.9,1074.4796939230516
8,10.0,1086.2155913084064
8,10.100000000000001,1077.3868229633204
8,10.200000000000001,1085.4677808259817
8,10.3,1125.3995738530891
8,10.4,1110.4939183775505
8,10.5,1073.4842136932027
8,10.600000000000001,1069.950202558405
8,10.700000000000001,1089.0440927594411
8,10.8,1063.7344195018095
8,10.9,1048.7977793145824
8,11.0,1065.1002973270815
8,11.100000000000001,1057.979520252052
8,11.200000000000001,1077.3738630369676
8,11.3,1086.3550491997635
8,11.4,1081.910144457669
8,11.5,1127.3572076210844
8,11.600000000000001,1108.8176904242619
8,11.700000000000001,1067.0623425453716
8,11.8,1092.2624937047685
8,11.9,1086.6712419289847
8,12.0,1086.0081298487994
8,12.100000000000001,1071.1479429238404
8,12.200000000000001,1047.9053754556578
8,12.3,1073.5739225960167
8,12.4,1069.2548700857549
8,12.5,1049.0905639782436
8,12.600000000000001,1062.617999550395
8,12.700000000000001,1100.061961885348
8,12.8,1100.710269614271
8,12.9,1076.6844459957563
8,13.0,1076.3465615903629
8,13.100000000000001,1083.865036439831
8,13.200000000000001,1065.8807942966127
8,13.3,1064.139237912918
8,13.4,1071.8365824583527
8,13.5,1046.3463578027745
8,13.600000000000001,1065.1938709127508
8,13.700000000000001,1079.522371591924
8,13.8,1069.1812952552218
8,13.9,1068.1474108604527
8,14.0,1050.692237029567
8,14.100000000000001,1028.6097746351843
8,14.200000000000001,1029.4290801950451
8,14.3,1053.3079807607887
8,14.4,1056.930965997742
8,14.5,1056.5737336194209
8,14.600000000000001,1059.7790121230162
