batch_size,relative_time_s,power_total_W
8,0.0,3698.87
8,0.1,3695.9826449756115
8,0.2,3537.5847057514925
8,0.30000000000000004,3531.9849394916537
8,0.4,3215.9116692620014
8,0.5,1696.1548540995989
8,0.6000000000000001,4363.360916396735
8,0.7000000000000001,3586.584985675241
8,0.8,3543.182642365725
8,0.9,3510.3515209773577
8,1.0,3520.22540382118
8,1.1,3530.830488694562
8,1.2000000000000002,3237.2391740597386
8,1.3,1590.6314849580979
8,1.4000000000000001,2666.062803369363
8,1.5,3060.83304781259
8,1.6,2984.647405577688
8,1.7000000000000002,1820.9783557591068
8,1.8,3372.1008230725247
8,1.9000000000000001,3567.873838497465
8,2.0,3563.1700811462442
8,2.1,3547.153410632776
8,2.2,1456.9799518673067
8,2.3000000000000003,2444.427650839479
8,2.4000000000000004,3230.585756759977
8,2.5,3126.996174058603
8,2.6,2048.529806184011
8,2.7,3564.681892280048
8,2.8000000000000003,1991.324013262074
8,2.9000000000000004,3566.0846570095537
8,3.0,3539.043637209768
8,3.1,3628.516478392238
8,3.2,3644.2777002459106
8,3.3000000000000003,3539.232844005681
8,3.4000000000000004,3515.4730301963223
8,3.5,3550.538282768062
8,3.6,3585.6780861324078
8,3.7,3550.9022391071035
8,3.8000000000000003,3524.921260862686
8,3.9000000000000004,3543.2717074817356
8,4.0,3596.685412640619
8,4.1000000000000005,3552.153565759682
8,4.2,3570.79971782266
8,4.3,3587.0690830116923
8,4.4,3605.3490265756095
8,4.5,3556.5972236699445
8,4.6000000000000005,3580.937795204758
8,4.7,3566.826413792052
8,4.800000000000001,3512.424714353183
8,4.9,3595.0754512912654
8,5.0,3567.8070782052355
8,5.1000000000000005,3572.375086868686
8,5.2,3577.4376337263498
8,5.300000000000001,3618.22567696069
8,5.4,3586.6196538720537
8,5.5,3561.24066879374
8,5.6000000000000005,3581.247805946676
8,5.7,3599.8628583488617
8,5.800000000000001,3593.45611517725
8,5.9,3620.3963626919376
8,6.0,3508.0322145726795
8,6.1000000000000005,3570.3052370688797
8,6.2,3584.197724937004
8,6.300000000000001,3597.240352064432
8,6.4,3586.500053923138
8,6.5,3618.6834694133345
8,6.6000000000000005,3651.6619167125773
8,6.7,3577.343852900317
8,6.800000000000001,3562.840959427252
8,6.9,3631.092366269999
8,7.0,3640.5986783140797
8,7.1000000000000005,3582.8461428276632
8,7.2,3575.52021966778
8,7.300000000000001,3610.191190390391
8,7.4,3584.379579410244
8,7.5,3614.523502787971
8,7.6000000000000005,3524.86985101236
8,7.7,3585.8418599132633
8,7.800000000000001,3631.9083249897544
8,7.9,3582.6093625156964
8,8.0,3608.931787559988
8,8.1,3575.900062902826
8,8.200000000000001,3607.4784314625376
8,8.3,3635.8629346667913
8,8.4,3558.637252168836
8,8.5,3572.760884616392
8,8.6,3606.849826791212
8,8.700000000000001,3533.5892889767892
8,8.8,3563.1856619908403
8,8.9,3610.0491697217517
8,9.0,3596.279025394427
8,9.1,3585.304119033629
8,9.200000000000001,3571.0803285121287
8,9.3,3588.9379855156244
8,9.4,2565.126487317946
8,9.5,2916.15427317265
8,9.600000000000001,3546.7538808326794
8,9.700000000000001,3557.334950912761
8,9.8,3591.063417559846
8,9.9,3593.522237032359
8,10.0,3655.6487138370553
8,10.100000000000001,3612.7545318827906
8,10.200000000000001,3537.045030274435
8,10.3,3571.381042474347
8,10.4,3581.03000907789
8,10.5,3591.9426821788547
8,10.600000000000001,3646.639438126012
8,10.700000000000001,3574.196530051779
8,10.8,3624.0326015326623
8,10.9,3604.1647832465596
8,11.0,3544.207231039964
8,11.100000000000001,3609.7788783360866
8,11.200000000000001,3618.114815444444
8,11.3,3560.6536162167054
8,11.4,3584.7054708029427
8,11.5,3609.884778993571
8,11.600000000000001,3621.17287489438
8,11.700000000000001,3602.8793859018533
8,11.8,3707.110497492977
8,11.9,3577.0333532800196
8,12.0,3573.421304106429
8,12.100000000000001,3565.438623977086
8,12.200000000000001,3540.241347887089
8,12.3,3549.2606005733155
8,12.4,3625.024959221672
8,12.5,3538.324877132951
8,12.600000000000001,3640.269750869502
8,12.700000000000001,3554.442503626727
8,12.8,3592.4764533252956
8,12.9,3585.3228468886864
8,13.0,3577.376527900033
8,13.100000000000001,3618.5930732726497
8,13.200000000000001,3659.2647320332276
8,13.3,3563.0806138588373
8,13.4,3662.117192886927
8,13.5,3628.760691177837
8,13.600000000000001,3595.7227475892496
8,13.700000000000001,3688.9815999032558
8,13.8,3625.9549683724913
8,13.9,3602.5218031387158
8,14.0,3571.254096051795
8,14.100000000000001,3595.6713871142692
8,14.200000000000001,3613.7218588102696
8,14.3,3566.031049667231
8,14.4,3624.6715661603203
8,14.5,3607.8440920331504
8,14.600000000000001,3592.9045504441606
8,14.700000000000001,3633.270193473304
8,14.8,3568.4590511110096
8,14.9,3580.018453373429
8,15.0,3604.224094760044
8,15.100000000000001,3629.1715991731503
8,15.200000000000001,3571.6641166841796
8,15.3,3620.9279336575632
8,15.4,3607.667054087813
8,15.5,3613.632433930882
8,15.600000000000001,3569.424341455742
8,15.700000000000001,3612.7808253006024
8,15.8,3628.343263668056
8,15.9,3589.7407501863413
8,16.0,3546.8574852857073
8,16.1,3607.2659693068017
8,16.2,3611.3277178208123
8,16.3,3573.87510161293
8,16.400000000000002,3630.832867589305
8,16.5,3594.750067352142
8,16.6,3634.6287287069126
8,16.7,3626.2886175190447
8,16.8,3535.989352731258
8,16.900000000000002,2239.678296149995
8,17.0,3517.25446354889
8,17.1,3611.4853603276006
8,17.2,3585.463023808014
8,17.3,3631.757215907125
8,17.400000000000002,3625.3001192985794
8,17.5,3585.282380761523
8,17.6,3606.386558451685
8,17.7,3648.6389055749887
8,17.8,3590.0054538092736
8,17.900000000000002,3577.5881325301434
8,18.0,3579.7983467950244
8,18.1,3625.503492495098
8,18.2,3652.7831683791637
8,18.3,3599.811539005385
8,18.400000000000002,3611.478774632295
8,18.5,3629.7026466478496
8,18.6,3581.527921068484
8,18.7,3607.9977547673457
8,18.8,3631.2173968026727
8,18.900000000000002,3641.4626985416908
8,19.0,3601.586166240129
8,19.1,3566.878688990294
8,19.200000000000003,3542.5275193297325
8,19.3,3578.9177649243543
8,19.400000000000002,3647.684069307536
8,19.5,3641.981829338385
8,19.6,3681.031562136698
8,19.700000000000003,3613.0778005618827
8,19.8,3607.2444503502866
8,19.900000000000002,3688.6036466026326
8,20.0,3642.087815732661
8,20.1,2100.878403553329
8,20.200000000000003,3488.426251069121
8,20.3,3613.3408541876756
8,20.400000000000002,3597.715240174805
8,20.5,3631.0066561589288
8,20.6,3565.7085004003193
8,20.700000000000003,3616.842142025451
8,20.8,3611.39306696246
8,20.900000000000002,3608.221110874678
8,21.0,3625.6380016656376
8,21.1,3649.633261862824
8,21.200000000000003,3678.7774697882564
8,21.3,3575.1990124982417
8,21.400000000000002,3627.3414013029455
8,21.5,3568.4049687651163
8,21.6,3559.7358071353
8,21.700000000000003,3635.4816257811653
8,21.8,3653.3437116194614
8,21.900000000000002,3642.0512449058756
8,22.0,3628.2248787783474
8,22.1,1863.3521162102957
8,22.200000000000003,1973.9102049997598
8,22.3,3394.7015650507665
8,22.400000000000002,3644.3897424680663
8,22.5,3602.497794486992
8,22.6,3628.4711357937385
8,22.700000000000003,3644.4198417539005
8,22.8,3681.634498280513
8,22.900000000000002,3613.571287611992
8,23.0,3589.543023449936
8,23.1,3619.3596843430405
8,23.200000000000003,3608.7862640966496
8,23.3,3603.9877003228817
8,23.400000000000002,3614.4324572476357
8,23.5,3638.293955151683
8,23.6,3686.7972247467005
8,23.700000000000003,3628.3875842815587
